Batch 233/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 234/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 235/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 236/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 237/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 238/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 239/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 240/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 241/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 242/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 243/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 244/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 245/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 246/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 247/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 248/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 249/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 250/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 251/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 252/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 253/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 254/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 255/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 256/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
Batch 257/1198: RSS 105.2 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 258/1198: RSS 105.1 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 259/1198: RSS 105.2 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 260/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 261/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 262/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 263/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 264/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 265/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 266/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 267/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 268/1198: RSS 105.1 -> 105.0 MB after gc (baseline 128.3 MB, +-23.3 MB)
Batch 269/1198: RSS 105.0 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 270/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 271/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 272/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 273/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 274/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.3 MB)
